SaO2sup Pa_CO2 P_a Vmca_d TOI_d HbT_d CCO_d
0.96547 38.521 79.243 59.092 58.117 -1.3071 -0.023884
0.96658 38.506 79.57 59.142 58.164 -1.2759 -0.030574
0.96808 38.479 79.862 59.114 58.206 -1.2427 -0.037187
0.96985 38.442 80.103 59.005 58.242 -1.2088 -0.043549
0.97181 38.397 80.274 58.82 58.273 -1.1755 -0.049495
0.97382 38.348 80.361 58.568 58.299 -1.144 -0.054871
0.97577 38.298 80.355 58.261 58.323 -1.1154 -0.05954
0.97757 38.249 80.25 57.916 58.345 -1.0905 -0.06338
0.97913 38.202 80.046 57.551 58.366 -1.0703 -0.066297
0.98039 38.159 79.753 57.184 58.388 -1.0551 -0.068222
0.98133 38.121 79.384 56.833 58.41 -1.045 -0.069118
0.98195 38.087 78.964 56.515 58.432 -1.0402 -0.068981
0.98226 38.055 78.518 56.241 58.452 -1.0402 -0.067847
0.98232 38.026 78.08 56.023 58.47 -1.0445 -0.065788
0.98217 37.999 77.678 55.863 58.483 -1.0524 -0.062914
0.98188 37.972 77.343 55.764 58.49 -1.063 -0.05937
0.98151 37.946 77.096 55.721 58.488 -1.0753 -0.055331
0.98114 37.921 76.948 55.725 58.478 -1.0883 -0.050996
0.98079 37.899 76.904 55.768 58.459 -1.101 -0.046576
0.98053 37.881 76.954 55.835 58.433 -1.1122 -0.042287
0.98036 37.87 77.08 55.913 58.4 -1.1212 -0.038335
0.9803 37.867 77.257 55.99 58.363 -1.1272 -0.034907
0.98035 37.874 77.454 56.055 58.326 -1.1295 -0.032157
0.98049 37.892 77.641 56.098 58.292 -1.1279 -0.030199
0.98068 37.923 77.79 56.115 58.264 -1.1221 -0.029097
0.98091 37.967 77.88 56.103 58.245 -1.1125 -0.028863
0.98113 38.022 77.899 56.064 58.238 -1.0995 -0.029457
0.9813 38.086 77.845 56.003 58.243 -1.0837 -0.030788
0.9814 38.157 77.727 55.927 58.261 -1.0662 -0.032726
0.98142 38.231 77.56 55.845 58.289 -1.048 -0.035109
0.98133 38.306 77.371 55.769 58.325 -1.0305 -0.037758
0.98116 38.378 77.187 55.706 58.367 -1.015 -0.040491
0.98091 38.442 77.035 55.666 58.411 -1.0027 -0.043138
0.98062 38.498 76.943 55.654 58.452 -0.99466 -0.045552
0.98033 38.543 76.927 55.674 58.486 -0.99183 -0.047622
0.98007 38.575 76.997 55.728 58.512 -0.99477 -0.049276
0.97988 38.594 77.153 55.811 58.527 -1.0037 -0.050488
0.9798 38.601 77.383 55.919 58.531 -1.0185 -0.051271
0.97985 38.598 77.667 56.044 58.523 -1.0388 -0.051675
0.98004 38.587 77.977 56.178 58.505 -1.0635 -0.051777
0.98036 38.569 78.283 56.31 58.479 -1.0918 -0.051667
0.98079 38.55 78.552 56.432 58.448 -1.1222 -0.05144
0.9813 38.531 78.755 56.536 58.415 -1.1535 -0.051183
0.98185 38.516 78.873 56.614 58.382 -1.1843 -0.050963
0.9824 38.508 78.893 56.665 58.352 -1.2132 -0.050824
0.9829 38.509 78.814 56.686 58.327 -1.2393 -0.050783
0.9833 38.521 78.648 56.68 58.307 -1.2616 -0.050828
0.98356 38.543 78.412 56.653 58.294 -1.2796 -0.050924
0.98367 38.575 78.135 56.61 58.286 -1.2931 -0.051019
0.9836 38.617 77.847 56.559 58.283 -1.302 -0.051051
0.98336 38.666 77.58 56.511 58.284 -1.3067 -0.050958
0.98295 38.72 77.361 56.475 58.286 -1.3076 -0.050684
0.9824 38.776 77.213 56.457 58.289 -1.3055 -0.050186
0.98175 38.83 77.151 56.466 58.291 -1.301 -0.049438
0.98105 38.88 77.181 56.504 58.291 -1.2951 -0.048431
0.98033 38.923 77.3 56.574 58.287 -1.2884 -0.047172
0.97964 38.957 77.499 56.675 58.28 -1.2816 -0.045678
0.97904 38.979 77.765 56.803 58.268 -1.2754 -0.043973
0.97856 38.989 78.078 56.951 58.254 -1.2701 -0.042081
0.97823 38.986 78.422 57.112 58.236 -1.2661 -0.040021
0.97807 38.971 78.778 57.276 58.217 -1.2634 -0.037803
0.97807 38.944 79.13 57.432 58.197 -1.2621 -0.03543
0.97824 38.908 79.465 57.572 58.178 -1.262 -0.032892
0.97854 38.865 79.771 57.685 58.161 -1.2626 -0.03018
0.97896 38.819 80.04 57.765 58.148 -1.2637 -0.027283
0.97945 38.773 80.264 57.807 58.138 -1.2646 -0.024198
0.97998 38.731 80.44 57.807 58.133 -1.2648 -0.02094
0.98051 38.699 80.563 57.768 58.133 -1.2635 -0.017544
0.981 38.679 80.633 57.691 58.136 -1.26 -0.014072
0.98144 38.675 80.651 57.584 58.141 -1.2538 -0.010612
0.9818 38.69 80.619 57.452 58.147 -1.244 -0.0072779
0.98207 38.725 80.544 57.307 58.153 -1.2303 -0.0042032
0.98224 38.778 80.433 57.158 58.156 -1.2122 -0.0015317
0.98232 38.849 80.293 57.015 58.155 -1.1896 0.00059288
0.98232 38.934 80.135 56.889 58.151 -1.1624 0.0020391
0.98224 39.027 79.969 56.788 58.141 -1.131 0.0027001
0.98211 39.124 79.805 56.719 58.128 -1.0959 0.0025037
0.98195 39.218 79.652 56.686 58.112 -1.0579 0.001421
0.98177 39.303 79.519 56.69 58.094 -1.0181 -0.00052921
0.98159 39.375 79.416 56.73 58.076 -0.97777 -0.0032803
0.98142 39.428 79.35 56.803 58.059 -0.93827 -0.006721
0.98127 39.461 79.329 56.903 58.047 -0.90114 -0.010703
0.98114 39.473 79.358 57.022 58.039 -0.86787 -0.01505
0.98103 39.464 79.442 57.151 58.038 -0.83986 -0.019571
0.98094 39.438 79.581 57.281 58.044 -0.81835 -0.024071
0.98085 39.398 79.772 57.401 58.058 -0.80429 -0.028365
0.98076 39.349 80.009 57.502 58.079 -0.79834 -0.032283
0.98067 39.296 80.282 57.576 58.107 -0.80078 -0.035682
