"t","P_a","SaO2sup","EtCO2","Pa_CO2","Vmca","CCO","DHbO2","DHbO2x"
0,63.48791605,0.9919997404,4.500001549,33.7527881184557,43.17335873,-2.266944042,0.074075928,0.812570718070772
3.19999999999982,63.34071641,0.9931961939,4.491453633,33.6886734743916,40.83556182,-2.313763079,-0.062744378,0.0499444801785061
6.40000000000009,64.30201602,0.9938560713,4.471910637,33.542088946363,39.51910094,-2.260376863,-0.077052034,-0.0298053331886465
9.59999999999991,64.96372864,0.9939677435,4.460370077,33.4555276258375,39.14363362,-2.208303924,-0.063992624,0.0429868495549928
12.8000000000002,63.5340215,0.9939941411,4.469634291,33.5250149468575,39.33426114,-2.267192127,-0.139261712,-0.376557464364477
16,61.67333784,0.9941646393,4.484432633,33.6360116424346,40.10622895,-2.345398615,-0.190577957,-0.662590407947484
19.1999999999998,62.73105128,0.9940125367,4.50204859,33.76814218898,41.04425169,-2.315975899,-0.052672702,0.106083255201782
22.4000000000001,65.96043342,0.9930363007,4.538837506,34.0440817577412,41.32084779,-2.232077315,0.19285064,1.474612153421
25.5999999999999,66.87371598,0.9916833465,4.576643446,34.3276496340062,41.22245591,-2.214439241,0.325381124,2.21332724165477
28.8000000000002,64.12962818,0.9910783925,4.57069515,34.2830337439075,41.94351574,-2.253581401,0.302855493,2.08777104515219
32,61.19503806,0.9917370979,4.530133168,33.9787938521647,43.23929728,-2.270468136,0.255457709,1.82357931255695
35.1999999999998,60.22977165,0.9930711452,4.519578098,33.8996243146865,43.26551953,-2.275471369,0.238182446,1.72728827787465
38.4000000000001,59.27709741,0.9942102021,4.562126961,34.2187670398349,41.54116839,-2.317997893,0.198335918,1.50518668615836
41.5999999999999,56.98344917,0.994826754,4.607661136,34.5603014469209,40.17031267,-2.340362395,0.146504192,1.21628048971379
44.8000000000002,56.02026092,0.9950466844,4.613431206,34.6035805320541,41.08230672,-2.248955131,0.167120925,1.3311966303444
48,59.18048418,0.9949517191,4.596901852,34.4796001784427,43.21736792,-2.111081257,0.2514849,1.80143516984809
51.1999999999998,63.92945744,0.9944867124,4.592457952,34.4462681865564,43.39372112,-2.095483963,0.280334865,1.96224273500054
54.4000000000001,64.41946586,0.9938824883,4.601797569,34.5163210766001,39.94765418,-2.199831981,0.225775373,1.65813217318618
57.5999999999999,59.59425583,0.9938942804,4.605602495,34.5448603692394,35.20257117,-2.235105592,0.240334919,1.73928600273103
60.8000000000002,55.50740475,0.9950328503,4.597836933,34.4866138628877,33.4822711,-2.123580933,0.44996578,2.90775287394638
64,57.58532463,0.9963479328,4.593073223,34.4508830986786,36.26854766,-2.010687999,0.757390098,4.62131322128938
67.1999999999998,64.23617174,0.9958412896,4.608331995,34.5653333033409,40.52271481,-2.020288675,0.960585292,5.75390816197026
70.4000000000001,69.84200674,0.992976751,4.644570659,34.8371456425966,42.53010875,-2.090745878,0.982178767,5.87426859006542
73.5999999999999,70.5483231,0.9900765494,4.685207825,35.141949460728,42.06125121,-2.126166926,0.886561581,5.34130548708109
76.8000000000002,66.6664949,0.9899136679,4.709636212,35.3251774355428,41.7386255,-2.141430002,0.767129728,4.675601196536
80,62.32143511,0.9923423767,4.707661312,35.3103644670295,43.23705385,-2.175828716,0.699518333,4.29874029543921
83.1999999999998,61.51904395,0.9947414301,4.689815078,35.1765067009031,45.27788174,-2.193931606,0.710669859,4.36089807427168
86.4000000000001,63.22056943,0.9954456158,4.688170368,35.1641703611171,45.53093663,-2.157215323,0.738405629,4.51549519913226
89.5999999999999,63.42582258,0.9950954589,4.727993277,35.4628667493519,43.71726789,-2.112450973,0.709384524,4.353733712313
92.8000000000002,61.59369717,0.9946866812,4.785086007,35.8910974505663,41.82073232,-2.131199592,0.674374623,4.15859112076953
96,60.32579785,0.994080642,4.797937486,35.9874914724289,41.48533414,-2.195484314,0.752859895,4.59606220576557
99.1999999999998,60.08587467,0.9929851471,4.747661216,35.6103884269703,42.31094936,-2.206724115,0.913956799,5.49400440035189
102.4,59.07545809,0.9920555216,4.697826067,35.2365940611833,42.66947068,-2.110467993,0.957547005,5.73697297557733
105.6,57.11643645,0.9920925838,4.716849492,35.3792814861366,41.59795607,-1.96560451,0.810675923,4.91832445771167
108.8,55.86984601,0.9927922848,4.782014296,35.8680577228206,39.97556013,-1.869215775,0.686314384,4.22514246302981
112,55.92497342,0.9931534701,4.808895446,36.0696829334902,39.5296958,-1.8507281,0.770277481,4.693146538294
115.2,56.24613604,0.9929264585,4.768928921,35.7699093366443,40.35882139,-1.869582167,0.915327165,5.50164271879795
118.4,56.17861549,0.9928689002,4.724255196,35.4348288354559,40.69715338,-1.882920038,0.898831894,5.40969930167284
121.6,56.02344467,0.9933997695,4.734968777,35.5151873032354,39.85500791,-1.879317208,0.813791957,4.93569300011622
124.8,55.6952803,0.9937594761,4.782308321,35.8702630917341,39.50860689,-1.86768039,0.888371832,5.35139569189156
128,54.79705922,0.9931510486,4.810636148,36.0827392725033,40.87462731,-1.861709252,1.066386505,6.34363627611896
131.2,54.17804616,0.9921822294,4.805620085,36.0451157050924,42.5546896,-1.868918974,1.100653226,6.53463643746295
134.4,55.23388659,0.9921470428,4.795078709,35.9660488810635,42.70002457,-1.892056238,0.949509486,5.69217244080176
137.6,57.33963259,0.9930543582,4.797037767,35.9807430248022,41.7842889,-1.944803426,0.789366927,4.79954969446314
140.8,58.29287523,0.9935724813,4.80259981,36.0224617790828,41.7193316,-2.038017085,0.740246158,4.52575417126905
144,57.64717592,0.9930721161,4.801567412,36.0147181570932,43.08172806,-2.129069398,0.81485462,4.94161620486214
147.2,57.28324672,0.992489698,4.798174634,35.9892702287492,44.4097776,-2.128850202,1.017870237,6.07321019666396
150.4,58.46286235,0.9927732703,4.799289104,35.9976294413772,44.07701027,-2.011742278,1.282126637,7.54615577077307
153.6,60.44292746,0.993615171,4.8020858,36.0186063869386,42.21510035,-1.882653788,1.411519075,8.26737962334689
156.8,62.13688909,0.9942364427,4.800245781,36.0048051091469,40.57015622,-1.860565359,1.276170525,7.51295684424074
160,63.77695281,0.9944405897,4.79661058,35.9775388587279,40.5994957,-1.926549919,0.990350102,5.91981500530006
163.2,66.76825345,0.9943939337,4.799740052,36.0010118296121,41.91347322,-1.982217693,0.754884795,4.60734884818185
166.4,71.5309028,0.9941861095,4.806181206,36.0493244588041,42.7412945,-2.024763681,0.606717829,3.78147716901392
169.6,75.24581971,0.9940208967,4.8012539,36.0123666236563,42.05651809,-2.137116434,0.45238947,2.92126234224502
172.8,74.29625162,0.9942057678,4.788580073,35.917305101405,41.02845043,-2.316690712,0.259432704,1.84573563986768
176,70.1258147,0.9946887835,4.794889398,35.9646289317586,41.62452825,-2.442582115,0.082952839,0.862049961597932
179.2,68.4688359,0.9950714833,4.820339573,36.1555209470165,43.70927398,-2.425940818,-0.03368877,0.211898284160734
182.4,70.99912802,0.9951304334,4.826653202,36.2028770600256,44.92653525,-2.304251677,-0.083210071,-0.0641297746945102
185.6,72.92852145,0.9948750735,4.825590848,36.1949087495532,44.08496247,-2.186675059,-0.072496583,-0.0044135871854431
188.8,70.63971005,0.994146117,4.895376575,36.7183447598468,42.91119463,-2.16592923,-0.035290713,0.202969172692383
192,66.46093991,0.992719188,4.99744641,37.483931499435,43.28927813,-2.263552043,-0.005824384,0.367212305066066
195.2,64.63548411,0.9908929688,4.932798526,36.9990324816905,44.5602163,-2.41308482,0.033279784,0.585176037202048
198.4,66.63064965,0.9894110417,4.727216492,35.4570403825756,45.1343298,-2.513588923,0.094325732,0.925441623669944
201.6,70.65675414,0.9885166603,4.804786181,36.0388609105737,45.20092596,-2.520590822,0.112416604,1.02627880242578
204.8,73.46187957,0.9875761863,5.24950618,39.3745352953131,45.98288352,-2.465777696,0.047879969,0.666556385518775
208,73.11443451,0.9860709244,5.160783487,38.7090603559115,47.46424865,-2.397273799,-0.007285473,0.359068303346791
211.2,70.55011406,0.984531675,3.630423648,27.2304173313908,48.69346654,-2.342750444,0.033065524,0.583981767853383
214.4,67.90541683,0.983941354,1.270907572,9.53259093997193,49.52237506,-2.318411112,0.09569901,0.933096173388026
217.6,66.64204257,0.9844886101,-0.267994082,-2.01012096734859,50.51482116,-2.317157298,0.091505723,0.909723102659675
220.8,67.49118617,0.9853255171,-0.347161987,-2.60392910144598,51.81737459,-2.29467595,0.102968278,0.973614534069595
224,69.73809596,0.9853366147,0.11247279,0.84361532071143,53.13090421,-2.224985984,0.234793592,1.70839905702474
227.2,70.74812169,0.9840657857,0.168433243,1.26335324581093,54.04722539,-2.154876773,0.384375476,2.54215738418238
230.4,69.00355771,0.9822722207,-0.068209174,-0.511610890060358,53.99447338,-2.141664084,0.384182232,2.54108025645899
233.6,66.72487408,0.9814236677,-0.093348341,-0.700170153426397,52.78329005,-2.166023219,0.282129344,1.97224502785279
236.8,66.58237363,0.982126457,0.073931545,0.554532203263265,51.24943229,-2.173057759,0.256582769,1.82985031355298
240,67.6356191,0.9834085889,0.065100257,0.488292094358569,50.47675718,-2.157309239,0.334294847,2.26301167253964
243.2,68.04434691,0.9841419553,-0.120072056,-0.900614504458552,50.64975796,-2.139860852,0.396570855,2.61013352221587
246.4,69.30229298,0.9845853858,-0.078120473,-0.585951747831841,51.37767597,-2.111951947,0.393793284,2.59465154747005
249.6,73.15563143,0.985704118,0.221043326,1.65796132873214,52.51463148,-2.064828363,0.37929779,2.51385473902255
252.8,76.6211891,0.987499894,0.152671797,1.14513267599875,53.73796787,-2.027184567,0.377630148,2.50455942620099
256,75.33824193,0.9889969964,-0.454017982,-3.40541499409489,53.95335112,-2.021807527,0.360484263,2.40898953489492
259.2,70.37338147,0.9896820597,-0.377870058,-2.83425858082579,52.43635616,-2.027500615,0.342507062,2.30878594986228
262.4,66.89098527,0.990101749,1.664849468,12.4873982221218,50.32616728,-2.018035334,0.393148798,2.59105923030658
265.6,67.14514453,0.9909349392,4.896672539,36.7280652894566,49.56812432,-1.998106397,0.529443237,3.35075432454359
268.8,68.95064889,0.9920796204,7.070114258,53.0302191954972,50.43704754,-1.978043057,0.673085387,4.15140501492618
272,70.26629524,0.9929581567,7.257510421,54.4358060414298,51.60853173,-1.950216741,0.751910508,4.59077039304215
275.2,71.26659908,0.9934154768,6.678779016,50.0949634266529,52.49703586,-1.906743951,0.783297195,4.76571745847783
278.4,71.87892409,0.9939366407,6.645457427,49.8450309497325,53.64045362,-1.855795325,0.819837603,4.96939098252395
281.6,71.0014122,0.9949515202,7.058837753,52.9456384503936,54.81600691,-1.818057025,0.874231427,5.27257812319366
284.8,69.03137951,0.9961724233,7.241295313,54.3141827267081,54.83416874,-1.814005289,0.939046893,5.6338547234142
288,68.14172469,0.9968884341,7.111118486,53.3377762051059,53.52854142,-1.827762249,1.026618409,6.1219718585535
291.2,68.90955433,0.9969306624,7.023011869,52.6769222158232,52.31927329,-1.790757658,1.141302475,6.76121233649665
294.4,69.0607837,0.9969519802,7.091068928,53.1873921495286,52.39548867,-1.66943663,1.240042736,7.3115832278973
297.6,67.08720296,0.9974005628,7.128827,53.470600986259,53.45110478,-1.559650007,1.272429487,7.49210457589578
300.8,65.79398537,0.9976077253,7.009511128,52.575658328366,54.59657354,-1.586884962,1.260682992,7.42663048398525
304,69.79988168,0.996637819,6.817542013,51.135771520922,55.68469036,-1.712097951,1.273316554,7.49704902156138
307.2,78.44005247,0.994940088,6.712081059,50.3447492965134,56.99573214,-1.762444806,1.299423654,7.64256806063791
310.4,83.95878386,0.9942573641,6.75195417,50.6438222307229,58.00572666,-1.665289767,1.258610272,7.41507729643571
313.6,80.44105501,0.9956044086,6.850813275,51.3853265142907,57.65885046,-1.527938527,1.182664032,6.99175858749156
316.8,72.23986469,0.9980291123,6.88717821,51.6580859639556,56.12249567,-1.46957651,1.231805674,7.26567045523953
320,68.49629845,0.9997895892,6.841407734,51.3147791535719,55.03061119,-1.479837239,1.445729908,8.458068269124
323.2,71.22259185,1.000227269,6.78977388,50.927493390484,55.3598822,-1.469458637,1.639464944,9.53793299075825
326.4,74.35223858,0.9999988675,6.784646503,50.8890348993924,56.15214889,-1.404402043,1.643018154,9.55773831976213
329.6,73.15328216,0.9998833667,6.803413174,51.0297965109284,56.02708608,-1.370282846,1.507840867,8.80427014791567
332.8,69.01295284,0.9999977712,6.80907516,51.0722648993737,55.05394837,-1.491466273,1.403397252,8.22210918432801
336,65.14996308,1.000080965,6.79993411,51.0037013843459,54.40275183,-1.753223068,1.4254861,8.34523078478412
339.2,62.45289062,1.000012977,6.792328537,50.9466548942073,54.6949871,-1.939431832,1.555817323,9.07168735531969
342.4,60.96210835,0.9999193728,6.796834998,50.9804561321938,55.44230271,-1.832364807,1.721368409,9.99445683001418
345.6,62.13619979,0.9999690379,6.820963389,51.161433951911,56.03265938,-1.472783378,1.849537826,10.7088636542436
348.8,66.85016354,1.000120191,6.869049099,51.5221064457941,56.51701372,-1.139339635,1.895628995,10.9657724117384
352,72.43632608,1.000076063,6.93024572,51.9811188616092,57.0898451,-1.050373022,1.846914843,10.6942433415442
355.2,74.78263055,0.9996617013,6.980473116,52.3578553219126,57.5860588,-1.156736865,1.7332923,10.0609197140715
358.4,73.29435386,0.9992042444,7.003649805,52.5316947894297,58.01726187,-1.262757991,1.633212591,9.50308283886366
361.6,70.97955413,0.9992103942,7.004803447,52.5403478162268,58.66756144,-1.276484283,1.611984895,9.38476123578523
364.8,69.76314802,0.9996704888,6.999201903,52.4983327800742,59.13690617,-1.260434134,1.641029061,9.5466512629081
368,68.81566586,1.000070588,6.996477833,52.477900574323,58.48499801,-1.278243719,1.632526814,9.49926036872869
371.2,67.47380625,1.000105107,6.998925639,52.4962606296193,56.90570865,-1.305082867,1.566386714,9.13060035683821
374.4,66.80197325,0.999974508,7.004114356,52.5351792085577,55.9894456,-1.307008424,1.521412256,8.87991606363261
377.6,67.8113083,0.999947349,7.003592926,52.5312681618353,56.64577746,-1.309163234,1.547891574,9.02750981823431
380.8,69.69287297,1.000008489,6.993354395,52.4544728621617,57.84510728,-1.335532606,1.583822803,9.2277878237163
384,70.05935868,1.000028052,6.991206008,52.4383586341069,58.11281882,-1.357075049,1.567452289,9.13653979285615
387.2,67.40759109,0.9999982098,7.021423037,52.6650049955138,57.47261156,-1.352805198,1.546453817,9.01949586735254
390.4,64.18691532,0.9999851188,7.070060505,53.0298160148316,57.19649912,-1.354258414,1.582652026,9.22126199955303
393.6,65.23613125,0.9999994361,7.082527129,53.1233233867386,57.9654429,-1.379629633,1.650829259,9.60127683969448
396.8,70.77396449,1.000007673,7.029373018,52.7246347581521,58.81643544,-1.389446605,1.713990387,9.95333228260273
400,74.18213721,1.000001181,6.953797907,52.1577747958086,58.17076993,-1.347185396,1.772528907,10.2796216513707
403.2,70.83684467,0.9999963371,6.923438907,51.9300635643056,56.04101024,-1.266966735,1.795123892,10.4055644219254
406.4,65.65223853,0.9999987947,6.94551897,52.0956776602045,54.66308962,-1.194950705,1.751283374,10.1612006261772
409.6,66.20844495,1.000001251,6.963009389,52.226866594293,55.87215423,-1.197067694,1.711105742,9.93725348532241
412.8,71.32103747,1.000001088,6.935602509,52.0212980842481,58.31193097,-1.31760051,1.757426428,10.1954415535523
416,73.27505413,1.000000581,6.891317559,51.6891336354339,59.10060651,-1.47938315,1.841949423,10.6665664587418
419.2,69.75613727,0.9999990614,6.884418123,51.6373836084819,57.95952246,-1.514440809,1.865517344,10.7979323023993
422.4,66.36873671,0.9999973742,6.926512671,51.953118690818,57.26064778,-1.37918073,1.823604599,10.5643137703732
425.6,67.6173559,1.000000633,6.979464185,52.3502877169021,58.19995673,-1.226563988,1.76297788,10.2263849352577
428.8,71.9140669,1.000005736,7.005557318,52.5460023138652,59.65064219,-1.183622596,1.689245686,9.81540715450516
432,75.68677079,1.000000259,7.004311389,52.536657077627,60.57985106,-1.195494536,1.606747365,9.35556763202478
435.2,76.97597179,0.9999888907,6.997974003,52.4891227724599,60.92073463,-1.17719544,1.570217973,9.15195551034562
438.4,75.33207304,0.9999972446,6.99824957,52.4911896949847,60.4203818,-1.168733611,1.619219381,9.42508572417853
441.6,72.6681061,1.000020657,7.000358388,52.5070071311254,59.01058327,-1.219041825,1.696171532,9.85401130642981
444.8,72.76495611,1.000009104,7.000246925,52.5061710898527,57.77929049,-1.238079186,1.695547724,9.85053424690469
448,76.1173471,0.9999624873,7.000764054,52.5100498764213,57.69880233,-1.116245531,1.60649778,9.35417646374612
451.2,77.8913341,0.9999759057,7.002225339,52.5210104155342,58.13985217,-0.927781946,1.546554622,9.02005774694598
454.4,74.31971403,1.00006688,6.998701962,52.4945829141106,57.92901217,-0.854930764,1.608036844,9.36275509233211
457.6,67.93828233,1.000057727,6.981257225,52.3637366232078,56.93373923,-0.913331818,1.72817244,10.0323819941637
460.8,64.02647073,0.9998814483,6.940111373,52.0551173462171,55.90700691,-0.912890571,1.774368102,10.2898731878904
464,64.71379896,0.9998680414,6.883652516,51.6316410836024,55.75029315,-0.753654998,1.715847023,9.96368103396289
467.2,67.47215066,1.000222871,6.862618655,51.4738741482101,56.96656634,-0.614886695,1.651842395,9.60692398461574
470.4,68.09118164,1.000312601,6.920285072,51.9064078558894,58.96940834,-0.717813052,1.672663778,9.72298082916778
473.6,66.75879533,0.9993284432,6.98401193,52.3843986103608,60.47283304,-1.005559355,1.726524898,10.0231987172513
476.8,69.81404958,0.9977964135,6.888459761,51.6676983871725,61.02431209,-1.239328228,1.687026732,9.80303886948556
480,80.03553395,0.9973299556,6.570241112,49.2808621787661,61.01307038,-1.352431939,1.556046742,9.07296611981004
483.2,88.78357819,0.998474665,6.144284734,46.0859265286809,59.9774061,-1.498649154,1.463477365,8.5569912781404
486.4,86.80248889,0.9999216786,5.72921203,42.9726251488225,56.38973742,-1.759209909,1.447445364,8.46763009363527
489.6,78.08152103,1.000362948,5.332143938,39.9943694678097,49.62083188,-2.007208702,1.443963266,8.44822113764512
492.8,72.12800191,1.000027424,4.964603226,37.2375873551904,41.38679749,-2.097647829,1.494864839,8.73194273025571
496,68.45164664,0.9998272971,4.711157258,35.3365862190282,34.87656289,-2.041290179,1.689914892,9.81913725911518
499.2,61.300716,0.9999742459,4.623174696,34.6766627187874,32.23135796,-1.947677697,1.911419403,11.0537869747802
502.4,54.21962577,1.000088726,4.667613592,35.0099818575863,32.66436201,-1.889448353,1.921243391,11.1085451552621
505.6,56.1617337,1.000019754,4.763118671,35.72632887672,33.54019012,-1.872903342,1.694308836,9.8436287770791
508.8,66.06386703,0.9999519263,4.773776748,35.8062710302535,33.57599154,-1.902478874,1.441609842,8.43510332681896
512,73.71927404,0.9999878718,4.62765732,34.7102851645664,34.00175654,-1.998410397,1.324248316,7.7809388854189
515.2,74.9125431,1.000030852,4.54637066,34.1005850606972,36.07758607,-2.127251029,1.308386651,7.69252714114421
518.4,74.99985141,1.000005079,4.796348767,35.9755750996892,38.91579371,-2.19487538,1.28757588,7.5765294470931
521.6,77.70604011,0.9999705065,5.036858079,37.7795433339347,40.80053086,-2.160949048,1.232353101,7.26872177273571
524.8,80.32955078,1.000000601,4.558363505,34.1905387977826,41.34014984,-2.084391528,1.19314721,7.05019104414237
528,81.28304338,1.000046506,3.555399729,26.6676916491328,41.09824974,-2.012967874,1.202173156,7.10050099770583
531.2,83.58057412,0.9999953889,3.289429709,24.6727523956305,40.24859076,-1.921594596,1.219880553,7.19920071525342
534.4,88.31658293,0.9998542533,4.341459482,32.5636247955004,38.97434698,-1.810534452,1.194029274,7.05510760345704
537.6,91.66461591,0.999777301,5.64219278,42.3199270829453,38.37306044,-1.770602465,1.130144239,6.69901715662186
540.8,90.94455966,0.9998574033,5.984139899,44.8847414568177,39.35780732,-1.872223401,1.059287843,6.30406886062781
544,88.13508849,0.9999927507,5.561805741,41.7169746916422,40.90060515,-2.040773324,0.977247879,5.8467841860698
547.2,85.45991742,1.000041244,5.278488777,39.5919226550754,40.95575731,-2.126456582,0.879022642,5.29928400024661
550.4,82.46340923,1.000006447,5.383932541,40.3828159438778,39.27658351,-2.091761944,0.810572748,4.917749367914
553.6,79.11854533,0.9999810737,5.517689037,41.3860721916358,37.76679506,-2.052847647,0.798790696,4.85207708392268
556.8,77.38128958,0.9999949368,5.49943015,41.2491192734025,37.68393866,-2.113503549,0.764183637,4.65917990380904
560,77.95724504,1.000009159,5.461409772,40.9639429798293,38.12925816,-2.232074656,0.616098218,3.83376276157089
